Pink Bubbles Go Ape,Helloween,Power,1992,77.0
Portal of I,Ne Obliviscaris,Progresive Death,,90
A Twist In the Myth,Blind Guardian,Power,,82.3
Unarmed,Helloween,Rock,,68
The Quantum Enigma,Epica,Symphonic,,80
No World Order,Gamma Ray,Power,,81.6
Elodia,Lacrimosa,Gothic,,84.5
Train Of thought,Dream Theater,Progressive Heavy,,84.2
Dystopia,Megadeth,Heavy/Thrash,,82.7
Senjutsu,Iron Maiden,Heavy,,84
Urd,Borknagar,Progresive Extreme,,82
Oscillation,Trail Of Tears,Doom,2013,87
Glory To The Brave,Hammerfall,Power,1994,90.0
Legacy Of Kings,Hammerfall,Power,1994,94.0
The Forgotten Tales,Blind Guardian,Power,1996,98.0
Into The Electric Castle,Ayreon,Progressive,1996,94.0
Legacy Of Kings,Hammerfall,Power,1998,98.0
